Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"Power BI, Python, Azure, React, Tableau, Deep Learning","Google Cloud, Docker",IoT,Postgraduate,7,Embedded Systems Engineer
"SQL, Machine Learning, React, PyTorch, Tableau, Kubernetes, Java","Postman, VS Code, Azure Portal, GitLab",Cloud,Postgraduate,6,DevOps Engineer
"Java, Figma, HTML, Azure, Deep Learning, REST APIs","GitLab, GitHub, PyCharm",Web Development,Graduate,3,Backend Developer
"Embedded Systems, Spark, Linux, Statistics, Deep Learning, REST APIs, Networking","Kubernetes, GitHub, VS Code",Cybersecurity,Postgraduate,5,Security Engineer
"Node.js, Power BI, React, Figma, Git, UI/UX","Jira, Figma, Kubernetes",AI/ML,Graduate,7,AI Engineer
"React, Embedded Systems, Kubernetes, C++, AWS, CSS","Google Cloud, GitHub",Design,Postgraduate,5,UI/UX Designer
"Tableau, C++, HTML, Data Analysis, Azure","Docker, Jupyter, GitLab",Cybersecurity,Graduate,0,Cybersecurity Analyst
"Spark, JavaScript, Statistics, Figma, Data Analysis","Docker, VS Code",Web Development,Postgraduate,8,Backend Developer
"CSS, UI/UX, React, Tableau","Figma, GitLab, VS Code",Data Science,Postgraduate,4,Data Scientist
"Docker, Statistics, Networking, TensorFlow, Spark, Node.js","Jupyter, VS Code, Postman, Google Cloud",Cybersecurity,Graduate,9,Cybersecurity Analyst
"UI/UX, AWS, Azure, Hadoop","Jira, GitLab, Jupyter, Docker",AI/ML,Undergraduate,5,Machine Learning Engineer
"C++, Node.js, HTML, Git, UI/UX","PyCharm, GitHub, AWS EC2, Jupyter",Data Science,Graduate,10,Data Scientist
"Node.js, HTML, NLP, Kubernetes, JavaScript","PyCharm, Figma, Google Cloud, VS Code",IoT,Undergraduate,6,Embedded Systems Engineer
"Docker, Azure, Embedded Systems, Node.js, Machine Learning","Figma, Azure Portal, GitHub, Jira",IoT,Graduate,0,Embedded Systems Engineer
"Spark, Azure, Statistics, Python, Git, JavaScript, Linux","Jira, PyCharm",Cloud,Undergraduate,9,Cloud Engineer
"Git, HTML, UI/UX, Linux, Spark","Jupyter, Docker, Postman, Figma",Design,Postgraduate,9,UI/UX Designer
"Hadoop, Python, PyTorch, Spark","PyCharm, AWS EC2",Cloud,Graduate,5,DevOps Engineer
"Spark, Cybersecurity, SQL, Docker, Kubernetes, C++, CSS","VS Code, Docker",IoT,Graduate,1,Embedded Systems Engineer
"PyTorch, Python, Data Analysis, Power BI, SQL, Spark, Embedded Systems","Azure Portal, Postman, Jira, Kubernetes",Cloud,Postgraduate,5,Cloud Engineer
