,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
0,"power bi, python, azure, react, tableau, deep learning","google cloud, docker",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
1,"sql, machine learning, react, pytorch, tableau, kubernetes, java","postman, vs code, azure portal, gitlab",cloud,postgraduate,DevOps Engineer,devops engineer
2,"java, figma, html, azure, deep learning, rest apis","gitlab, github, pycharm",web development,graduate,Backend Developer,backend developer
3,"embedded systems, spark, linux, statistics, deep learning, rest apis, networking","kubernetes, github, vs code",cybersecurity,postgraduate,Security Engineer,security engineer
4,"node.js, power bi, react, figma, git, ui/ux","jira, figma, kubernetes",ai/ml,graduate,AI Engineer,ai engineer
5,"react, embedded systems, kubernetes, c++, aws, css","google cloud, github",design,postgraduate,UI/UX Designer,ui/ux designer
6,"tableau, c++, html, data analysis, azure","docker, jupyter, gitlab",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
7,"spark, javascript, statistics, figma, data analysis","docker, vs code",web development,postgraduate,Backend Developer,backend developer
8,"css, ui/ux, react, tableau","figma, gitlab, vs code",data science,postgraduate,Data Scientist,data scientist
9,"docker, statistics, networking, tensorflow, spark, node.js","jupyter, vs code, postman, google cloud",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
10,"ui/ux, aws, azure, hadoop","jira, gitlab, jupyter, docker",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
11,"c++, node.js, html, git, ui/ux","pycharm, github, aws ec2, jupyter",data science,graduate,Data Scientist,data scientist
12,"node.js, html, nlp, kubernetes, javascript","pycharm, figma, google cloud, vs code",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
13,"docker, azure, embedded systems, node.js, machine learning","figma, azure portal, github, jira",iot,graduate,Embedded Systems Engineer,embedded systems engineer
14,"spark, azure, statistics, python, git, javascript, linux","jira, pycharm",cloud,undergraduate,Cloud Engineer,cloud engineer
15,"git, html, ui/ux, linux, spark","jupyter, docker, postman, figma",design,postgraduate,UI/UX Designer,ui/ux designer
16,"hadoop, python, pytorch, spark","pycharm, aws ec2",cloud,graduate,DevOps Engineer,devops engineer
17,"spark, cybersecurity, sql, docker, kubernetes, c++, css","vs code, docker",iot,graduate,Embedded Systems Engineer,embedded systems engineer
18,"pytorch, python, data analysis, power bi, sql, spark, embedded systems","azure portal, postman, jira, kubernetes",cloud,postgraduate,Cloud Engineer,cloud engineer
19,"git, azure, javascript, sql, networking, statistics","pycharm, jupyter, google cloud, postman",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
20,"git, docker, linux, nlp, networking","aws ec2, github, postman, figma",cloud,graduate,DevOps Engineer,devops engineer
21,"machine learning, hadoop, css, sql, data analysis, linux","pycharm, jira, jupyter, aws ec2",cloud,graduate,Cloud Engineer,cloud engineer
22,"tableau, machine learning, react, nlp","vs code, docker, gitlab",cloud,postgraduate,Cloud Engineer,cloud engineer
23,"nlp, cybersecurity, python, spark, embedded systems, node.js, javascript","figma, gitlab, aws ec2",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
24,"javascript, figma, azure, html","jupyter, postman, jira",ai/ml,graduate,AI Engineer,ai engineer
25,"embedded systems, css, react, sql, tableau, linux, data analysis","vs code, github, jupyter, google cloud",cloud,undergraduate,DevOps Engineer,devops engineer
26,"machine learning, kubernetes, data analysis, css, rest apis","aws ec2, vs code, google cloud, postman",design,graduate,UI/UX Designer,ui/ux designer
27,"embedded systems, statistics, c++, nlp, hadoop, html, linux","docker, vs code, pycharm",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
28,"machine learning, docker, react, pytorch, nlp, sql","vs code, kubernetes, azure portal, postman",ai/ml,undergraduate,AI Engineer,ai engineer
29,"statistics, pytorch, tensorflow, rest apis, node.js","postman, kubernetes",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
30,"docker, aws, tableau, embedded systems, networking, nlp, git","figma, aws ec2, azure portal, gitlab",data science,postgraduate,Data Scientist,data scientist
31,"azure, hadoop, data analysis, spark, ui/ux, javascript","figma, kubernetes",ai/ml,undergraduate,AI Engineer,ai engineer
32,"aws, tableau, cybersecurity, hadoop, react, html, linux","github, vs code, pycharm",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
33,"tableau, rest apis, react, html","kubernetes, aws ec2, azure portal, vs code",ai/ml,undergraduate,AI Engineer,ai engineer
34,"spark, nlp, docker, linux, git, embedded systems","postman, gitlab, figma, google cloud",design,postgraduate,UI/UX Designer,ui/ux designer
35,"deep learning, embedded systems, tableau, machine learning, java, aws, react","github, postman, jira",design,postgraduate,UI/UX Designer,ui/ux designer
36,"machine learning, rest apis, java, spark","vs code, aws ec2",cloud,graduate,DevOps Engineer,devops engineer
37,"python, power bi, figma, nlp, html, deep learning","google cloud, jupyter, pycharm, kubernetes",cybersecurity,undergraduate,Cybersecurity Analyst,cybersecurity analyst
38,"spark, embedded systems, cybersecurity, git, c++, linux, javascript","azure portal, aws ec2, jupyter",design,postgraduate,UI/UX Designer,ui/ux designer
39,"spark, sql, power bi, linux","vs code, pycharm, google cloud, figma",design,postgraduate,UI/UX Designer,ui/ux designer
40,"ui/ux, docker, power bi, tensorflow","kubernetes, google cloud",design,undergraduate,UI/UX Designer,ui/ux designer
41,"pytorch, git, python, aws","kubernetes, github",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
42,"rest apis, spark, power bi, statistics, java","jupyter, kubernetes",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
43,"tableau, git, css, java, figma, javascript, azure","jira, pycharm, azure portal",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
44,"spark, python, azure, deep learning, cybersecurity, react, kubernetes","postman, google cloud",web development,graduate,Frontend Developer,frontend developer
45,"tableau, tensorflow, deep learning, kubernetes","jupyter, azure portal, gitlab, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
46,"react, tensorflow, pytorch, cybersecurity","figma, pycharm, google cloud, github",design,undergraduate,UI/UX Designer,ui/ux designer
47,"git, machine learning, aws, networking, rest apis, spark","gitlab, google cloud",cloud,postgraduate,DevOps Engineer,devops engineer
48,"deep learning, azure, docker, react, rest apis","jira, kubernetes, aws ec2",cloud,postgraduate,DevOps Engineer,devops engineer
49,"networking, linux, embedded systems, machine learning","aws ec2, kubernetes",data science,graduate,Data Scientist,data scientist
50,"embedded systems, c++, python, html, hadoop","azure portal, aws ec2, google cloud",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
51,"javascript, hadoop, machine learning, data analysis","docker, figma, pycharm, kubernetes",cloud,postgraduate,Cloud Engineer,cloud engineer
52,"css, hadoop, cybersecurity, figma, linux, statistics","kubernetes, vs code",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
53,"tensorflow, statistics, docker, deep learning, c++, react, ui/ux","jira, vs code, kubernetes",cloud,postgraduate,DevOps Engineer,devops engineer
54,"git, python, ui/ux, deep learning, docker, azure","jupyter, github, google cloud, docker",data science,graduate,Data Scientist,data scientist
55,"power bi, nlp, docker, sql, machine learning, css, hadoop","pycharm, google cloud, jira",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
56,"html, deep learning, aws, spark, docker","postman, aws ec2, docker",data science,undergraduate,Data Analyst,data analyst
57,"nlp, azure, java, rest apis, power bi","google cloud, figma, jira, kubernetes",ai/ml,undergraduate,AI Engineer,ai engineer
58,"embedded systems, aws, html, java, react, spark","docker, jupyter, figma, github",data science,undergraduate,Data Scientist,data scientist
59,"data analysis, node.js, hadoop, react, networking, sql","github, vs code, jupyter, gitlab",design,graduate,UI/UX Designer,ui/ux designer
60,"tensorflow, java, azure, css, docker","azure portal, postman, aws ec2",cybersecurity,undergraduate,Security Engineer,security engineer
61,"tableau, css, tensorflow, rest apis, data analysis","google cloud, vs code, figma, postman",design,graduate,UI/UX Designer,ui/ux designer
62,"c++, machine learning, python, power bi, tensorflow, spark","postman, docker",data science,postgraduate,Data Scientist,data scientist
63,"tensorflow, figma, sql, rest apis, css, cybersecurity, pytorch","jupyter, pycharm, azure portal, kubernetes",data science,postgraduate,Data Scientist,data scientist
64,"docker, azure, html, statistics, rest apis","postman, figma",ai/ml,undergraduate,AI Engineer,ai engineer
65,"tableau, pytorch, embedded systems, machine learning","docker, pycharm",iot,graduate,Embedded Systems Engineer,embedded systems engineer
66,"spark, hadoop, ui/ux, deep learning, javascript, aws","google cloud, jira",cloud,graduate,DevOps Engineer,devops engineer
67,"tableau, pytorch, react, power bi, cybersecurity, aws","aws ec2, azure portal, jupyter",web development,graduate,Backend Developer,backend developer
68,"react, python, figma, spark, html","jira, aws ec2, docker",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
69,"javascript, machine learning, tensorflow, css","figma, postman",iot,graduate,Embedded Systems Engineer,embedded systems engineer
70,"spark, statistics, java, machine learning","azure portal, jira, postman, kubernetes",cloud,undergraduate,Cloud Engineer,cloud engineer
71,"embedded systems, docker, azure, figma, spark","azure portal, jupyter, figma",ai/ml,graduate,AI Engineer,ai engineer
72,"power bi, aws, java, spark, python","kubernetes, aws ec2, jupyter",web development,undergraduate,Frontend Developer,frontend developer
